full_name,first_name,middle_names,last_name,date_of_birth,age_at_offense,date_of_death,location,last_known_full_address,crime,flat_or_suite,unit_or_box,house_number,street,city,state,zip_code
Lori West,Lori,,West,09/12/2002,48,31/01/2046,North Dorisstad,"417 Christopher Mountains, Robertville, IA 08374",Pickpocketing,,,417,Christopher Mountains,Robertville,IA,08374
Denise Marsh,Denise,,Marsh,26/04/1989,18,29/07/2072,East Jessica,"09233 Cruz Ville Apt. 568, Joyceshire, WI 31608",Highway Robbery,Apartment 568,,09233,Cruz Ville,Joyceshire,WI,31608
Christine Carney,Christine,,Carney,04/11/1971,52,11/09/1985,Jennyport,"4388 Bennett Lodge Apt. 477, South Zachary, AR 54784",Arson,Apartment 477,,4388,Bennett Lodge,South Zachary,AR,54784
Christine Campbell,Christine,,Campbell,03/10/1964,19,12/07/1972,Williamport,"221 Vincent Fords, Allenmouth, OR 97340",Highway Robbery,,,221,Vincent Fords,Allenmouth,OR,97340
Jennifer Wood,Jennifer,,Wood,25/08/1992,42,08/01/2001,Candiceberg,"3695 Davis Well Suite 220, Port Sarah, MO 81344",Burglary,Suite 220,,3695,Davis Well,Port Sarah,MO,81344
Lydia Bell,Lydia,,Bell,16/11/1995,38,24/03/2008,Robertshire,"Unit 3338 Box 9074, DPO AP 64783",Murder,,Unit 3338 Box 9074,,,DPO AP 64783,,
Eric Roth,Eric,,Roth,07/02/1977,47,21/12/2001,Michaelchester,"8534 Singh Spring, East Michelle, HI 83070",Smuggling,,,8534,Singh Spring,East Michelle,HI,83070
James Massey,James,,Massey,07/02/1964,58,08/11/2060,West Darin,"6074 Johnson Isle Apt. 146, Riveraside, AR 56260",Theft,Apartment 146,,6074,Johnson Isle,Riveraside,AR,56260
Timothy Martin,Timothy,,Martin,10/11/1996,34,22/09/2004,Patrickberg,"3042 Janet Lake, Spencerside, ID 03495",Highway Robbery,,,3042,Janet Lake,Spencerside,ID,03495
Brittany Meyer,Brittany,,Meyer,22/04/1997,57,19/10/2006,Emilyburgh,"3501 Hunt Brooks, North Russell, NY 67843",Forgery,,,3501,Hunt Brooks,North Russell,NY,67843
Katie Bradshaw,Katie,,Bradshaw,08/10/1989,51,25/10/2001,East Emma,"USNS Andrews, FPO AA 12751",Arson,,,,USNS Andrews,FPO AA 12751,,
Julian Nicholson,Julian,,Nicholson,07/02/1988,24,30/05/1989,Laurafurt,"263 Shelby Motorway, East Jennifer, AR 57150",Forgery,,,263,Shelby Motorway,East Jennifer,AR,57150
Jesse Martin,Jesse,,Martin,23/05/1990,52,07/10/2002,Lake Sierra,"29245 Jacobs Haven Apt. 670, Joneschester, IA 31575",Murder,Apartment 670,,29245,Jacobs Haven,Joneschester,IA,31575
Michael Jones,Michael,,Jones,27/12/1979,57,23/06/1993,Port Shaneview,"3125 Sarah Path, East Sara, DE 70896",Pickpocketing,,,3125,Sarah Path,East Sara,DE,70896
Jason Torres,Jason,,Torres,22/10/1971,20,07/11/1979,South Charles,"73975 Bradley Center, Jamiechester, OK 39196",Theft,,,73975,Bradley Center,Jamiechester,OK,39196
Dennis Hampton,Dennis,,Hampton,03/08/1980,22,28/10/1988,North Brandonberg,"4039 Martin Harbors Suite 023, Castrohaven, FL 43900",Pickpocketing,Suite 023,,4039,Martin Harbors,Castrohaven,FL,43900
Jack Mata,Jack,,Mata,24/09/1973,35,24/12/1980,Lindsaystad,"453 Juan Road, Matthewshire, ME 87347",Murder,,,453,Juan Road,Matthewshire,ME,87347
Jennifer Weiss,Jennifer,,Weiss,05/04/1985,60,27/11/1998,Lake Steventown,"65947 Rhonda Land, Christopherhaven, NJ 33923",Pickpocketing,,,65947,Rhonda Land,Christopherhaven,NJ,33923
Mr. Devin Henry,Mr.,Devin,Henry,06/06/1988,41,15/09/1991,East Tina,"933 Jonathan Ways Apt. 826, Lake Andrewbury, IA 75081",Theft,Apartment 826,,933,Jonathan Ways,Lake Andrewbury,IA,75081
Jorge Walker,Jorge,,Walker,11/04/1991,41,03/07/1996,West Sabrinatown,"830 William Grove, Port Jonathan, OR 13530",Burglary,,,830,William Grove,Port Jonathan,OR,13530
Barbara Russell,Barbara,,Russell,18/11/1973,50,15/07/1994,Youngmouth,"997 Samuel Run, West Michaelport, KS 68613",Theft,,,997,Samuel Run,West Michaelport,KS,68613
Catherine Williams,Catherine,,Williams,18/07/1998,41,26/07/2021,New Frank,"043 Chandler Light, Donaldview, VT 15108",Assault,,,043,Chandler Light,Donaldview,VT,15108
Cody Owens,Cody,,Owens,17/09/1991,28,22/06/2004,South Hollyberg,"15328 Veronica Terrace Suite 806, Fieldsville, SD 91513",Theft,Suite 806,,15328,Veronica Terrace,Fieldsville,SD,91513
Kaitlyn Henson,Kaitlyn,,Henson,27/04/1970,51,13/05/1998,North Diana,"7135 George Crescent Suite 234, Curtistown, CO 52351",Pickpocketing,Suite 234,,7135,George Crescent,Curtistown,CO,52351
Kenneth Singh,Kenneth,,Singh,13/01/1988,32,06/05/1992,Allisonton,"67821 Baker Bypass, Toddport, NJ 09229",Counterfeiting,,,67821,Baker Bypass,Toddport,NJ,09229
Mrs. Karen Garcia,Mrs.,Karen,Garcia,26/02/1977,39,27/03/1981,South Rachelberg,"01626 Todd Mountain Suite 293, East Hannahstad, MD 76871",Arson,Suite 293,,01626,Todd Mountain,East Hannahstad,MD,76871
Daniel Lynch,Daniel,,Lynch,08/01/1998,42,18/01/2021,Rodriguezstad,"20305 Andrea Forest, Lake Amandaborough, SD 53590",Pickpocketing,,,20305,Andrea Forest,Lake Amandaborough,SD,53590
Sarah Ramos,Sarah,,Ramos,11/05/1967,34,18/09/2002,North Bradley,"67534 Charles Ridge Apt. 695, West Victoria, CT 57874",Forgery,Apartment 695,,67534,Charles Ridge,West Victoria,CT,57874
David Long,David,,Long,16/06/1994,23,31/05/2000,Noahfort,"4843 Eric Walk, East Charles, AL 31768",Forgery,,,4843,Eric Walk,East Charles,AL,31768
Isaiah Oneal,Isaiah,,Oneal,28/10/1999,53,05/03/2000,North Mirandaview,"14304 Morse Expressway Suite 369, Warrenmouth, SC 03722",Theft,Suite 369,,14304,Morse Expressway,Warrenmouth,SC,03722
Marissa Hatfield,Marissa,,Hatfield,22/08/1971,43,12/09/2012,Howardside,"Unit 7389 Box 0946, DPO AE 51911",Smuggling,,Unit 7389 Box 0946,,,DPO AE 51911,,
David Martin,David,,Martin,18/06/1990,51,14/01/2023,Herreraborough,"842 Michael Keys Suite 221, Lefort, LA 61154",Arson,Suite 221,,842,Michael Keys,Lefort,LA,61154
Kathleen Butler,Kathleen,,Butler,09/09/1987,56,31/10/2049,Port Veronicatown,"70449 John Club Apt. 190, Smithfurt, VT 50238",Pickpocketing,Apartment 190,,70449,John Club,Smithfurt,VT,50238
Jeremy Mason,Jeremy,,Mason,27/02/1972,46,30/11/2056,Benjaminbury,"34525 Scott Islands, Nicholasburgh, NJ 23267",Murder,,,34525,Scott Islands,Nicholasburgh,NJ,23267
Kayla Matthews,Kayla,,Matthews,15/08/1980,18,09/08/1985,Lake Sarahchester,"94219 Mendoza Place Apt. 879, South Christinebury, WA 55359",Pickpocketing,Apartment 879,,94219,Mendoza Place,South Christinebury,WA,55359
Christopher Barnett,Christopher,,Barnett,06/10/1982,22,31/12/1982,Jenningsmouth,"5161 Dunn Courts, Juliestad, FL 63448",Murder,,,5161,Dunn Courts,Juliestad,FL,63448
Suzanne Blake,Suzanne,,Blake,28/12/1968,26,06/03/2005,Port Christian,"506 Jonathan Shoal, South Ryan, UT 77188",Pickpocketing,,,506,Jonathan Shoal,South Ryan,UT,77188
Joel Hughes,Joel,,Hughes,22/02/1999,53,03/07/2000,Vanessaville,"576 Garza Inlet, Brianfort, AR 51824",Smuggling,,,576,Garza Inlet,Brianfort,AR,51824
John Brown,John,,Brown,06/05/1971,46,10/01/1995,North Craig,"600 Kirby Plaza Suite 895, East Robert, SD 42249",Smuggling,Suite 895,,600,Kirby Plaza,East Robert,SD,42249
Michael Thomas,Michael,,Thomas,22/09/1983,32,10/04/1988,Port Leslie,"738 Alvarez Curve, Davisstad, LA 26818",Pickpocketing,,,738,Alvarez Curve,Davisstad,LA,26818
Amy Garcia,Amy,,Garcia,10/04/2004,30,12/11/2052,Stevensstad,"2892 Carter Throughway, North Dale, GA 86833",Theft,,,2892,Carter Throughway,North Dale,GA,86833
Amanda Hunter,Amanda,,Hunter,22/07/1999,60,13/10/2068,East Christopher,"5059 Brock Tunnel, North Stephen, DC 69882",Highway Robbery,,,5059,Brock Tunnel,North Stephen,DC,69882
Nicholas Gray,Nicholas,,Gray,22/06/1998,20,12/09/2058,New Emilyhaven,"293 Hall Stream, New Erikfurt, NH 45535",Murder,,,293,Hall Stream,New Erikfurt,NH,45535
Dennis Aguilar,Dennis,,Aguilar,21/04/1996,46,19/05/2055,East Shannontown,"181 Gray Fall Apt. 340, Lake Christinefurt, NY 50132",Counterfeiting,Apartment 340,,181,Gray Fall,Lake Christinefurt,NY,50132
Gregory Armstrong,Gregory,,Armstrong,01/10/2002,46,10/07/2003,Cochranton,"3642 Michael Ville Suite 283, East Teresafort, HI 40299",Smuggling,Suite 283,,3642,Michael Ville,East Teresafort,HI,40299
Aaron Larson,Aaron,,Larson,25/06/2002,21,01/12/2064,East Nancystad,"92656 Jeffrey Streets, North Angelashire, DE 90406",Pickpocketing,,,92656,Jeffrey Streets,North Angelashire,DE,90406
Elizabeth Davies,Elizabeth,,Davies,01/08/1973,31,25/06/1974,Lisaburgh,"635 Hines Skyway Apt. 663, Williamsland, IA 79421",Counterfeiting,Apartment 663,,635,Hines Skyway,Williamsland,IA,79421
Donna Parker,Donna,,Parker,17/01/1993,42,15/04/1995,West Brittany,"08886 Rhodes Heights Suite 000, Amberstad, VT 37756",Forgery,Suite 000,,08886,Rhodes Heights,Amberstad,VT,37756
Christopher Mckee,Christopher,,Mckee,14/08/2000,51,02/01/2045,Cobbland,"Unit 0305 Box 8181, DPO AA 04177",Arson,,Unit 0305 Box 8181,,,DPO AA 04177,,
Shawn Johnson,Shawn,,Johnson,11/10/1983,52,25/04/2059,East Robinshire,"8637 Bobby Bridge Suite 009, West Heathertown, NC 89831",Burglary,Suite 009,,8637,Bobby Bridge,West Heathertown,NC,89831
Tonya Simmons,Tonya,,Simmons,26/04/1993,57,18/11/1994,Martinezfort,"31904 Gerald Common, New Paul, IA 65301",Highway Robbery,,,31904,Gerald Common,New Paul,IA,65301
Bridget Sanchez,Bridget,,Sanchez,04/05/1965,22,25/07/1986,Port Kaitlynstad,"USCGC Doyle, FPO AP 31545",Assault,,,,USCGC Doyle,FPO AP 31545,,
Melinda Faulkner,Melinda,,Faulkner,28/07/2004,26,06/10/2030,North Adamborough,"45611 Jennifer Grove Apt. 544, Elizabethfurt, AK 07628",Burglary,Apartment 544,,45611,Jennifer Grove,Elizabethfurt,AK,07628
Sara Forbes,Sara,,Forbes,22/02/1995,30,26/09/2002,Gonzaleshaven,"7973 Kimberly Trafficway, Josephville, AL 61371",Smuggling,,,7973,Kimberly Trafficway,Josephville,AL,61371
Sarah Ramirez,Sarah,,Ramirez,27/08/1968,21,22/05/1976,Mariamouth,"2025 Ian Island Apt. 082, South Peggy, IL 54836",Arson,Apartment 082,,2025,Ian Island,South Peggy,IL,54836
Roger Brown,Roger,,Brown,19/01/1965,27,22/07/1988,Jimenezfurt,"53180 Teresa Forks Suite 496, Ericastad, LA 37012",Forgery,Suite 496,,53180,Teresa Forks,Ericastad,LA,37012
Benjamin Berry,Benjamin,,Berry,22/02/1997,53,26/03/2029,North Jonathanhaven,"680 Jones Isle, Hoganburgh, NJ 91043",Highway Robbery,,,680,Jones Isle,Hoganburgh,NJ,91043
Anne Turner,Anne,,Turner,20/07/1994,39,17/08/1995,Stephaniemouth,"08600 Williams Way, Riceside, ID 76622",Assault,,,08600,Williams Way,Riceside,ID,76622
Allen Miller,Allen,,Miller,23/11/2001,34,02/06/2013,East Kimberlyport,"22341 Vasquez Landing Suite 721, Martinton, ID 06525",Theft,Suite 721,,22341,Vasquez Landing,Martinton,ID,06525
Eric Edwards,Eric,,Edwards,20/09/1996,36,10/06/2023,Jameston,"101 Christina Hills Apt. 203, South Joe, VA 28368",Highway Robbery,Apartment 203,,101,Christina Hills,South Joe,VA,28368
Wendy Owen,Wendy,,Owen,25/05/1979,43,18/02/2033,Harrisberg,"440 Kristina Mountain, Stephanieville, NM 94375",Pickpocketing,,,440,Kristina Mountain,Stephanieville,NM,94375
Danny Brown,Danny,,Brown,31/07/1986,58,21/08/2031,Lake Brettmouth,"4844 Samantha Mission Suite 101, Castillochester, NM 99161",Counterfeiting,Suite 101,,4844,Samantha Mission,Castillochester,NM,99161
Deborah Pace,Deborah,,Pace,24/03/1972,38,01/11/1974,Port Gregorymouth,"13545 Tony Union, Port Jesuston, HI 61559",Murder,,,13545,Tony Union,Port Jesuston,HI,61559
Heather Anderson,Heather,,Anderson,29/10/1986,37,13/02/1993,North Jonathan,"244 Edwards Streets Suite 833, Maynardport, VA 16583",Pickpocketing,Suite 833,,244,Edwards Streets,Maynardport,VA,16583
Evan Jones,Evan,,Jones,18/04/1973,30,21/02/1998,Port Jessica,"36513 Walton Field, Port Peterstad, NE 22464",Smuggling,,,36513,Walton Field,Port Peterstad,NE,22464
Jeanne Vance,Jeanne,,Vance,20/06/2001,41,31/01/2036,Kristinville,"12974 Mendez Knolls Apt. 746, West Randallburgh, HI 19244",Highway Robbery,Apartment 746,,12974,Mendez Knolls,West Randallburgh,HI,19244
Kevin Vang,Kevin,,Vang,15/10/2001,44,21/05/2040,South Jeffreymouth,"154 Phillip Circles, Glennborough, CT 32669",Forgery,,,154,Phillip Circles,Glennborough,CT,32669
Ashley Smith,Ashley,,Smith,06/10/1999,18,23/09/2045,Torresmouth,"45985 Martinez Crossing Apt. 012, Richardfort, MI 24031",Counterfeiting,Apartment 012,,45985,Martinez Crossing,Richardfort,MI,24031
Paul Robertson,Paul,,Robertson,03/04/1986,49,23/11/2013,South Julieburgh,"54060 Wall Crescent Apt. 614, Rhodesville, ID 93687",Theft,Apartment 614,,54060,Wall Crescent,Rhodesville,ID,93687
Lori Hess,Lori,,Hess,04/08/1996,18,30/07/2003,Romanville,"37311 Allen Trafficway Suite 258, Brownstad, MT 42847",Burglary,Suite 258,,37311,Allen Trafficway,Brownstad,MT,42847
Steven Hampton,Steven,,Hampton,17/04/1968,48,08/04/1990,Lake Albertshire,"34570 Martin Greens Apt. 568, Jamesbury, NC 48569",Pickpocketing,Apartment 568,,34570,Martin Greens,Jamesbury,NC,48569
Miranda Kennedy,Miranda,,Kennedy,31/01/1990,59,04/01/2059,West Allison,"25700 Roberts Manors Apt. 324, Haleside, CT 91195",Forgery,Apartment 324,,25700,Roberts Manors,Haleside,CT,91195
Sarah Rivas,Sarah,,Rivas,05/12/1991,59,18/01/2003,East Brandi,"7573 Webster Knoll, East Joshuachester, OK 36196",Pickpocketing,,,7573,Webster Knoll,East Joshuachester,OK,36196
Regina Henry,Regina,,Henry,13/01/1981,28,01/04/1983,Richardberg,"826 Bates Green, North Nancyhaven, GA 21481",Pickpocketing,,,826,Bates Green,North Nancyhaven,GA,21481
Dakota Valenzuela,Dakota,,Valenzuela,14/03/1990,45,15/08/1997,Bakerville,"9321 Perez Orchard, Campbellmouth, VA 93702",Counterfeiting,,,9321,Perez Orchard,Campbellmouth,VA,93702
Margaret Luna,Margaret,,Luna,12/01/1988,59,07/03/1999,Gatesview,"94567 Angela Views Apt. 067, Riversstad, HI 36924",Forgery,Apartment 067,,94567,Angela Views,Riversstad,HI,36924
Connie Lopez,Connie,,Lopez,14/10/1984,35,19/04/2043,North Hannah,"140 Maria Road Apt. 058, North Kimberlyfurt, WY 50871",Forgery,Apartment 058,,140,Maria Road,North Kimberlyfurt,WY,50871
Katelyn Phillips,Katelyn,,Phillips,03/04/1979,55,16/10/1983,Rodriguezmouth,"38482 Curtis Cape, Grayland, NY 08517",Smuggling,,,38482,Curtis Cape,Grayland,NY,08517
Michael Tran,Michael,,Tran,02/07/1973,38,11/12/2026,Port Christinaside,"05898 Rhonda Inlet Suite 589, Maddoxshire, DC 92782",Arson,Suite 589,,05898,Rhonda Inlet,Maddoxshire,DC,92782
Richard Nguyen,Richard,,Nguyen,27/02/1971,55,14/09/1982,Stewartfort,"795 Miller Pines, Port Nathanborough, NY 10465",Pickpocketing,,,795,Miller Pines,Port Nathanborough,NY,10465
Margaret Robinson,Margaret,,Robinson,28/12/1988,21,14/01/1989,Scottberg,"PSC 9521, Box 7457, APO AA 06567",Arson,,,,PSC 9521,Box 7457,,
Christopher Wagner,Christopher,,Wagner,22/08/1988,29,26/11/2029,South Gabriela,"20903 Deborah Rue, Christopherview, VT 73659",Highway Robbery,,,20903,Deborah Rue,Christopherview,VT,73659
Courtney Adams,Courtney,,Adams,06/04/1965,38,01/04/2011,Sanchezberg,"193 Silva Ranch Suite 175, Taylorton, IL 21823",Pickpocketing,Suite 175,,193,Silva Ranch,Taylorton,IL,21823
Lori Walker,Lori,,Walker,30/04/1989,23,13/10/1992,Port Brettland,"47098 Holt Station Apt. 469, West Michaelport, HI 50072",Forgery,Apartment 469,,47098,Holt Station,West Michaelport,HI,50072
Trevor Mcgrath,Trevor,,Mcgrath,15/12/1992,21,21/07/2053,Davidberg,"75880 James Bridge, Salasside, HI 14418",Arson,,,75880,James Bridge,Salasside,HI,14418
Carlos Warren,Carlos,,Warren,19/08/1971,34,16/01/2011,Lake Keithstad,"USNV Carroll, FPO AE 21724",Pickpocketing,,,,USNV Carroll,FPO AE 21724,,
Kelly Scott,Kelly,,Scott,14/06/1968,20,14/09/1970,Traviston,"643 Paul Stream, Thompsonfort, AR 90985",Counterfeiting,,,643,Paul Stream,Thompsonfort,AR,90985
Taylor Espinoza,Taylor,,Espinoza,08/03/1988,21,03/03/2020,Lisafurt,"3733 Rosario Track Apt. 221, Kellyfurt, ME 89667",Arson,Apartment 221,,3733,Rosario Track,Kellyfurt,ME,89667
Rebecca Clarke,Rebecca,,Clarke,05/08/1978,55,27/03/2004,West Nicholas,"10451 Ward Estate, West Christopher, DE 54143",Highway Robbery,,,10451,Ward Estate,West Christopher,DE,54143
Misty Franklin,Misty,,Franklin,15/02/1967,33,29/03/1986,Foxton,"189 Dawson Greens, Mitchellmouth, OH 29996",Forgery,,,189,Dawson Greens,Mitchellmouth,OH,29996
Vanessa James,Vanessa,,James,05/02/1987,43,27/06/2017,Reedport,"884 Rachel Islands, Lake Saraville, GA 66495",Smuggling,,,884,Rachel Islands,Lake Saraville,GA,66495
Brian Sanchez,Brian,,Sanchez,15/02/1998,40,05/11/2005,Loganville,"7177 Sandoval Flats Apt. 659, East Billy, ND 32597",Forgery,Apartment 659,,7177,Sandoval Flats,East Billy,ND,32597
Brian Duncan,Brian,,Duncan,04/10/1993,23,14/03/2059,East Paulaborough,"176 Orr Glen Apt. 544, West Michael, NE 01406",Arson,Apartment 544,,176,Orr Glen,West Michael,NE,01406
Brandon Aguirre,Brandon,,Aguirre,03/04/1969,38,13/10/1973,Karenhaven,"4183 Chelsea Rest Apt. 400, Mindyland, DE 13985",Highway Robbery,Apartment 400,,4183,Chelsea Rest,Mindyland,DE,13985
Sherri Knapp,Sherri,,Knapp,13/01/1991,40,03/06/2002,Lake Manuelland,"92083 Christina Fall, Port Timothyland, DC 68433",Pickpocketing,,,92083,Christina Fall,Port Timothyland,DC,68433
